    ονομασία     | Ελάχιστη θερμοκρασία (min) | Ελάχιστη θερμοκρασία (max) | Mέγιστη θερμοκρασία (min) | Mέγιστη θερμοκρασία (max) | Μέγιστη υγρασία (min) | Μέγιστη υγρασία (max) | Ελάχιστη υγρασία (min) | Ελάχιστη υγρασία (max) | Ημερήσια βροχόπτωση (min) | Ημερήσια βροχόπτωση (max) | Μέση ταχύτητα ανέμου (min) | Μέση ταχύτητα ανέμου (max) | Μέγιστη ριπή ανέμου (min) | Μέγιστη ριπή ανέμου (max) 
-----------------+----------------------------+----------------------------+---------------------------+---------------------------+-----------------------+-----------------------+------------------------+------------------------+---------------------------+---------------------------+----------------------------+----------------------------+---------------------------+---------------------------
 aghiosnikolaos  |                       17.4 |                       17.4 |                      27.4 |                      27.4 |                    78 |                    78 |                     20 |                     20 |                         0 |                         0 |                       15.6 |                       15.6 |                      72.4 |                      72.4
 alexandroupolis |                       14.1 |                       14.1 |                      20.8 |                      20.8 |                    82 |                    82 |                     37 |                     37 |                         0 |                         0 |                        7.7 |                        7.7 |                      48.3 |                      48.3
 amfiklia        |                       14.3 |                       14.3 |                      19.1 |                      19.1 |                    68 |                    68 |                     38 |                     38 |                         0 |                         0 |                        8.5 |                        8.5 |                      45.1 |                      45.1
 argos           |                       11.9 |                       11.9 |                      15.9 |                      15.9 |                    70 |                    70 |                     53 |                     53 |                         0 |                         0 |                       13.9 |                       13.9 |                      57.9 |                      57.9
 arta            |                       11.7 |                       11.7 |                      16.8 |                      16.8 |                    79 |                    79 |                     63 |                     63 |                         0 |                         0 |                       13.1 |                       13.1 |                      62.8 |                      62.8
 athens          |                       13.5 |                       13.5 |                        18 |                        18 |                    76 |                    76 |                     64 |                     64 |                         0 |                         0 |                       40.4 |                       40.4 |                      98.2 |                      98.2
 chania          |                       15.3 |                       15.3 |                      19.2 |                      19.2 |                    80 |                    80 |                     56 |                     56 |                         0 |                         0 |                         28 |                         28 |                      77.2 |                      77.2
 dion            |                       14.6 |                       14.6 |                      18.1 |                      18.1 |                    77 |                    77 |                     50 |                     50 |                         0 |                         0 |                       32.6 |                       32.6 |                      75.6 |                      75.6
 drama           |                       16.9 |                       16.9 |                      20.7 |                      20.7 |                    83 |                    83 |                     59 |                     59 |                       0.2 |                       0.2 |                         29 |                         29 |                      83.7 |                      83.7
 florina         |                         15 |                         15 |                      19.3 |                      19.3 |                    82 |                    82 |                     43 |                     43 |                         0 |                         0 |                       11.6 |                       11.6 |                      53.1 |                      53.1
 gavalou         |                       13.3 |                       13.3 |                      21.2 |                      21.2 |                    74 |                    74 |                     40 |                     40 |                       3.2 |                       3.2 |                       16.2 |                       16.2 |                      88.5 |                      88.5
 grevena         |                         13 |                         13 |                      17.2 |                      17.2 |                    68 |                    68 |                     44 |                     44 |                         0 |                         0 |                        6.3 |                        6.3 |                      35.4 |                      35.4
 heraclion       |                       12.8 |                       12.8 |                      16.6 |                      16.6 |                    77 |                    77 |                     58 |                     58 |                         1 |                         1 |                        7.5 |                        7.5 |                      62.8 |                      62.8
 igoumenitsa     |                       13.2 |                       13.2 |                      17.1 |                      17.1 |                    75 |                    75 |                     56 |                     56 |                         0 |                         0 |                        5.7 |                        5.7 |                      30.6 |                      30.6
 ioannina        |                       11.9 |                       11.9 |                      18.9 |                      18.9 |                    87 |                    87 |                     44 |                     44 |                       3.8 |                       3.8 |                        7.4 |                        7.4 |                      38.6 |                      38.6
 ithaki          |                       13.6 |                       13.6 |                      17.1 |                      17.1 |                    88 |                    88 |                     67 |                     67 |                         2 |                         2 |                        5.7 |                        5.7 |                        29 |                        29
 karpenisitown   |                         11 |                         11 |                      16.7 |                      16.7 |                    81 |                    81 |                     48 |                     48 |                         0 |                         0 |                        8.3 |                        8.3 |                      45.1 |                      45.1
 kea             |                       12.1 |                       12.1 |                      17.6 |                      17.6 |                    85 |                    85 |                     66 |                     66 |                       2.4 |                       2.4 |                        8.4 |                        8.4 |                      40.2 |                      40.2
 kerkyra         |                       12.9 |                       12.9 |                        17 |                        17 |                    90 |                    90 |                     72 |                     72 |                      26.6 |                      26.6 |                        9.1 |                        9.1 |                      45.1 |                      45.1
 kilkis          |                       11.8 |                       11.8 |                      14.9 |                      14.9 |                    93 |                    93 |                     79 |                     79 |                      40.2 |                      40.2 |                       10.1 |                       10.1 |                      40.2 |                      40.2
 kyparissia      |                        8.8 |                        8.8 |                      13.8 |                      13.8 |                    87 |                    87 |                     64 |                     64 |                         0 |                         0 |                       10.8 |                       10.8 |                      45.1 |                      45.1
 larissa         |                        6.9 |                        6.9 |                        13 |                        13 |                    82 |                    82 |                     52 |                     52 |                       6.4 |                       6.4 |                         10 |                         10 |                      51.5 |                      51.5
 lavrio          |                        9.4 |                        9.4 |                      15.9 |                      15.9 |                    78 |                    78 |                     48 |                     48 |                       9.8 |                       9.8 |                       19.1 |                       19.1 |                      72.4 |                      72.4
 lefkada         |                       10.5 |                       10.5 |                      16.7 |                      16.7 |                    86 |                    86 |                     59 |                     59 |                      14.8 |                      14.8 |                       15.2 |                       15.2 |                      77.2 |                      77.2
 lemnos          |                        8.7 |                        8.7 |                      11.4 |                      11.4 |                    85 |                    85 |                     73 |                     73 |                         2 |                         2 |                        6.6 |                        6.6 |                      24.1 |                      24.1
 lindos          |                       17.7 |                       17.7 |                      27.1 |                      27.1 |                    77 |                    77 |                     25 |                     25 |                       4.8 |                       4.8 |                       23.5 |                       23.5 |                        95 |                        95
 livadeia        |                        6.8 |                        6.8 |                      10.2 |                      10.2 |                    89 |                    89 |                     60 |                     60 |                      17.8 |                      17.8 |                       15.8 |                       15.8 |                      56.3 |                      56.3
 megalopoli      |                        7.4 |                        7.4 |                       9.8 |                       9.8 |                    72 |                    72 |                     54 |                     54 |                         0 |                         0 |                         21 |                         21 |                      56.3 |                      56.3
 moires          |                          7 |                          7 |                       9.3 |                       9.3 |                    69 |                    69 |                     45 |                     45 |                         0 |                         0 |                       12.9 |                       12.9 |                      48.3 |                      48.3
 mornos1         |                        6.8 |                        6.8 |                      14.8 |                      14.8 |                    78 |                    78 |                     60 |                     60 |                       1.4 |                       1.4 |                       15.1 |                       15.1 |                      59.5 |                      59.5
 naousa          |                       11.1 |                       11.1 |                      16.8 |                      16.8 |                    87 |                    87 |                     63 |                     63 |                         4 |                         4 |                        5.3 |                        5.3 |                      27.4 |                      27.4
 nemea           |                       12.4 |                       12.4 |                      18.3 |                      18.3 |                    76 |                    76 |                     48 |                     48 |                         0 |                         0 |                       12.4 |                       12.4 |                      57.9 |                      57.9
 nevrokopi       |                       11.7 |                       11.7 |                      17.6 |                      17.6 |                    76 |                    76 |                     60 |                     60 |                         0 |                         0 |                       13.4 |                       13.4 |                      49.9 |                      49.9
 notiopedio      |                       11.3 |                       11.3 |                        19 |                        19 |                    80 |                    80 |                     40 |                     40 |                         4 |                         4 |                        9.9 |                        9.9 |                      69.2 |                      69.2
 orestiada       |                       10.1 |                       10.1 |                      18.3 |                      18.3 |                    71 |                    71 |                     43 |                     43 |                         0 |                         0 |                       21.2 |                       21.2 |                      64.4 |                      64.4
 paros           |                        8.9 |                        8.9 |                      18.9 |                      18.9 |                    83 |                    83 |                     38 |                     38 |                       2.2 |                       2.2 |                       20.7 |                       20.7 |                      62.8 |                      62.8
 patra           |                        6.5 |                        6.5 |                      10.4 |                      10.4 |                    75 |                    75 |                     36 |                     36 |                       2.4 |                       2.4 |                       18.3 |                       18.3 |                      53.1 |                      53.1
 pirgos          |                        6.1 |                        6.1 |                      13.2 |                      13.2 |                    61 |                    61 |                     45 |                     45 |                         0 |                         0 |                       10.6 |                       10.6 |                      40.2 |                      40.2
 polygyros       |                        9.4 |                        9.4 |                      13.8 |                      13.8 |                    74 |                    74 |                     53 |                     53 |                         0 |                         0 |                       12.9 |                       12.9 |                        37 |                        37
 ptolemaida      |                        7.3 |                        7.3 |                      15.2 |                      15.2 |                    75 |                    75 |                     55 |                     55 |                         1 |                         1 |                       20.2 |                       20.2 |                        66 |                        66
 rethymno        |                       10.3 |                       10.3 |                      15.7 |                      15.7 |                    91 |                    91 |                     58 |                     58 |                      22.6 |                      22.6 |                       31.4 |                       31.4 |                     107.8 |                     107.8
 samos           |                       10.2 |                       10.2 |                      17.4 |                      17.4 |                    90 |                    90 |                     44 |                     44 |                       1.6 |                       1.6 |                          9 |                          9 |                      46.7 |                      46.7
 samothraki      |                       10.3 |                       10.3 |                      16.1 |                      16.1 |                    81 |                    81 |                     48 |                     48 |                         0 |                         0 |                        9.6 |                        9.6 |                      69.2 |                      69.2
 skopelos        |                       14.6 |                       14.6 |                      18.9 |                      18.9 |                    79 |                    79 |                     60 |                     60 |                         0 |                         0 |                         23 |                         23 |                      67.6 |                      67.6
